mDdx21	Med27	Dmac1	Specc1	Fbxo48	Ccp110	Pemt	Chchd6	Prkn	Pacrg	Tmem101	Cldnd1	Xrra1	Spcs2	Cep128	Snapin	Skiv2l	Nelfe	Ciao3	Rpia	Ccdc150	Cops8	Wdr59	Acp2	Rab29	Krr1	Itpr1	Zfp28	Kif2c	Dcp1a	Nudt13	Cdk5rap2	Togaram1	Klhl28	Dhx33	Pcm1	Mapkapk5	Ube3c	R3hcc1l	Clp1	Mitf	Zfp317	Syt3	Spink10	Snrpc	Ift88	Fbxo38	Zfp637	Vps50	Clcn7	Mrps25
mEp300	Stat3	Rbks	Babam2	Sspn	Sde2	Asmt	Cltc	Crem	Isy1	Blcap	Lpxn	Zfp91	Dhrs9	Sbno2	Spty2d1	Oasl1	Mtf2	Spag9	Fam110a	Pilrb1	H4c3	D16Ertd472e	Ilf3	Vars	D17H6S56E-5	Lilr4b	Rara	Noct	H4c14	BC003965	Lilrb4a	Birc3	Polr2a	Gbp7	Srxn1	Rpl27	Calm3	Furin	Arih2	Hjurp	A730008H23Rik	Rpl22	Txnip	Amz2	Oga	Ksr1	Kbtbd7	Il18rap	Ctla2b	Emp1
mEp400	Sspn	Oasl1	Asmt	Hoxd11	Zfhx3	Fev	Irx2	Eomes	Trmt10a	Mttp	Nfix	Sgpl1	Slc3a2	Cstf1	Aurka	Npm2	Pax9	Pitx1	Spata45	Sema6a	Dnajb13	Pemt	Hoxd3	Rps29	Cbx8	Yars	S100pbp	Ctif	Mnx1	Nrn1	Pkm	Sox21	Pou3f3	0610009B22Rik	Laptm4a	Denn2b	Bcl11a	Six4	Tfap2a	Tbx3	Skor1	Psg23	Lhx5	Hoxc11	Aadacl4fm1	Zfp467	Slfnl1	Sema5b	Gm39773	Cd36
mEzh1	Sspn	Ilf2	Knl1	Ctnna3	Asmt	Polg	Prmt5	Oasl1	Fmc1	Agbl5	Mettl26	Lta4h	Smarcc2	Tia1	Rab11a	Sacm1l	Mynn	H4c8	Ndufs7	Fbxo31	Acp6	Psmb3	Rnase4	Ang	Lasp1	Wbp4	Elf1	Eapp	Polr3e	2610301B20Rik	Ccdc107	B4gat1	Ppp6r3	Plekhg2	Tex14	Rps29	Sfi1	Npas4	H4c3	H4c4	Gtf3c6	H4c18	Mpp7	Fut8	H1f2	Glra1	Pten	Btg1	Calm2	H2bc4
mEzh2	Asmt	Sspn	Gm10499	Bmi1	H2-Q9	H2-Q7	Oasl1	Trank1	Ikzf3	2810459M11Rik	Nkx2-4	Trp73	Foxe3	Nr5a1	Tbx21	Npr1	Cdk5r2	Tal1	Ptpru	Cgas	Syt2	Nfix	Tox2	Sfi1	Gm13889	Hoxd13	Plxnd1	Tbc1d30	Tlx2	Sowaha	D430041D05Rik	Aldh1a2	Cdh22	Foxl1	Alx3	Pou3f1	Bhlhe23	Mafa	Fgfr3	Slc6a20a	Hoxa13	Gata5	Disc1	Rasd2	Fstl4	Tcf24	Crybg1	Fgf8	Fbll1	Fam43b
mFoxp1	Pgk1	Ect2	Cic	Knl1	Prcc	Dnajc12	Ccni	2010109A12Rik	Sspn	Cdc5l	Rmnd5a	Frg1	Rrp15	Irf8	Dusp1	Atf7ip	Panx1	1110012L19Rik	Otud1	Asmt	Arhgap11a	Pramef8	Xpa	Clcn4	Tpp2	Ldlrad4	Tnks2	Sun3	Gm11992	6330403K07Rik	Tbc1d17	Akt1s1	Hbp1	Brd3	Hspbp1	Ing3	Hexim1	Rsrp1	Fyco1	Kctd20	Nadk2	Rpgrip1l	Fto	Vps36	Rfx1	Zer1	Snrpb	Cd276	Dop1b	Lrrc61
mHdac2	Npas4	Hjurp	A730008H23Rik	Cacng2	Slc39a13	Sspn	Vstm2l	Gm3448	Gm3417	Tcte3	Gm3435	9030025P20Rik	Ermard	Nup107	Gtf2h3	Eif2b1	Ccdc107	Cyb5r4	Nolc1	Snrpc	Zfpl1	Cdca5	Gle1	Zfand2a	Ndufv1	Opn3	Anks3	4930451G09Rik	Kifc5b	Esco1	Tinf2	Kifc1	Yeats4	Gpn3	Fam216a	Mtmr10	Cdk11b	Vps33a	Xkr7	Med6	Mterf1a	Dazap1	Mdm1	Nuf2	Mterf1b	Nup133	Nup214	Fancd2	Emc3	Nme1
mIkzf1	Zfp260	Ddx20	Chmp5	Bag1	Rps19	Mcrs1	Hjurp	A730008H23Rik	Pa2g4	Aaas	Cdipt	Ppp2r1a	Trappc9	Tbcb	Polr2i	Psmd2	Tmtc3	Cep290	Atad2	Fam110a	Acp2	Tcf19	Cchcr1	Cmc1	Sspn	Kifap3	Phf23	P4hb	Vcl	1810037I17Rik	Mmut	Cenpq	Mrpl52	Bola2	Zcchc7	Gpatch8	Emsy	Mfsd8	Mis18bp1	Thap7	Elp5	Ctdnep1	Nudt13	Nadk	Mzt2	Rdm1	Vrk1	Mtrr	Fastkd3	Zfp91
mIrf1	Clic5	Erap1	Rtp4	Ctso	Tap2	Psmb10	Xaf1	Ifit1bl2	Ifit1	Tuba3b	Parp10	Gm12250	Socs1	Psmb8	H2-T10	H2-T9	H2-T22	Gm6034	Oasl2	Irgm2	Rbck1	Nmi	Usf1	Kcnab1	Isg15	Bst2	Ifi35	Uba7	Ddx60	Oas1c	Oas1b	Gbp7	Igtp	Rnf31	Psme2	Il18bp	Ifit3b	Ncln	Pomp	Tapbp	Cmpk2	Trim21	Parp4	Stat2	Tmem229b	Tmem100	Ifit3	Nub1	Tapbpl	Psma4
mIrf3	Gbp7	Oasl1	Asmt	Cnpy3	Cd300lf	Cfp	Cxcl10	Dcaf1	Nlrp1b	Pgam1	Chrdl2	Itgax	Aoah	Slc15a3	Plpp1	Tmem229b	Dpep2	Ifih1	Tnfsf13b	Psap	Ankrd37	Skap2	Marchf1	Tmem266	Sp110	Tlx1	P4ha1	Bbc3	Shisa5	Elmod2	Phf11b	Cd53	Unc93b1	Bank1	Apba1	Mical1	Ptk2	Slc4a4	Cox17	Cxcl9	Hcls1	Casp2	Tmcc3	Clec12a	Filip1l	Ifi204	Oasl2	Ccl5	Popdc2	Herc6
